Protocol,Domain,Path,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,web_traffic,domain_registration_length,dns_record,statistical_report,age_domain,http_tokens,label
http,genetic_mishap.tripod.com,/landofthreenamedpeople/,0,2,0,0,0,0,0,1,1,0,0,2,1,1
http,www.angelfire.com,/celeb/starzbios/gottfried_g.html,0,2,0,0,0,2,0,0,1,0,0,2,1,1
http,us.imdb.com,/name/nm0331906/,0,0,0,0,0,0,0,0,2,0,0,2,1,1
http,www-tech.mit.edu,/v110/n37/gilber.37a.html,0,0,0,0,1,1,0,0,1,0,0,1,1,1
http,www-tech.mit.edu,/v110/n38/lsc.38a.html,0,0,0,0,1,1,0,0,1,0,0,1,1,1
http,www.octopusmediaink.com,/gilbertgottfried.html,0,0,0,0,0,2,0,1,1,0,0,0,1,1
http,citypaper.net,/articles/022996/article001.shtml,0,0,0,0,0,0,0,2,2,0,0,2,1,1
http,jam.canoe.ca,/movies/artists/g/gottfried_gilbert/1997/02/21/758674.html,0,1,0,0,0,2,0,2,1,0,1,1,1,1
http,www.voicechasers.com,/database/showactor.php,0,2,0,0,0,2,0,2,1,0,0,0,1,1
http,www.kylehebert.com,/,0,0,0,0,0,0,1,2,1,0,0,0,1,1
http,www.post-gazette.com,/magazine/19990223voicetalent1.asp,0,2,0,0,1,2,0,0,0,0,0,0,1,1
http,www.serkworks.com,/roommates/index.htm,0,0,0,0,0,2,0,2,2,0,0,2,1,1
http,www.armory.com,/~keeper/jesshirt.html,0,0,0,0,0,2,0,2,0,0,0,0,1,1
http,www.voicechasers.com,/database/showactor.php,0,2,0,0,0,2,0,2,1,0,0,0,1,1
http,docharris.com,/,0,0,0,0,0,0,0,1,1,0,0,0,1,1
